id,source,period,cp.val,auc,prauc,acc,F1,kap,dp,mcc,Brier,mr,Se,Sp,ifd,GM,bac,PM,dpow,DLR.pos,DLR.neg,DOR,PT,ppv,npv,mkd,FM,IMN,NMI,MCEN,imcen,type
LR:21,LR 3rd generation,pre,0.18316771113359695,0.7647680602226057,0.5055185426047587,0.6166166166166166,0.5561993047508691,0.29144606358924213,0.5905905905905906,0.3598174750175379,0.1669099240670766,0.3833833833833834,0.8791208791208791,0.5179063360881543,0.3970272152090333,0.6747609009746279,0.6985136076045166,0.645835649949961,1.1334149693287026,1.823547880690738,0.23339957914426002,7.812987012987013,0.4254616597334478,0.4067796610169492,0.9193154034229829,0.3260950644399321,0.5980037568458191,0.12384232372897568,0.12384232372897419,0.5746581218532705,1.740165085938407,I
LR:22,LR 3rd generation,pre,0.3260000962694608,0.7693493375311558,0.5769137051255022,0.7427427427427428,0.5793780687397709,0.39709187231854154,0.3383383383383383,0.401790590301638,0.15999772981512292,0.25725725725725723,0.6483516483516484,0.778236914600551,0.42658856295219927,0.7103317438981368,0.7132942814760996,0.7451335130903716,1.029453942970318,2.923622960890042,0.45185257220655445,6.470302795031058,0.36902268460254894,0.5236686390532544,0.8547655068078669,0.37843414586112134,0.5826846705725507,0.13331380849072147,0.13331380849071928,0.6855440933331627,1.458695377474454,I
LR:23,LR 3rd generation,pre,0.2119696369137205,0.7662615162615163,0.544720194676088,0.6446446446446447,0.5556946182728412,0.3059852643320516,0.5265265265265265,0.35206478702459837,0.16399838913736298,0.35535535535535534,0.8131868131868132,0.581267217630854,0.39445403081766717,0.6875164262148215,0.6972270154088336,0.660097311642994,0.9917466050812107,1.9420185078079815,0.3213895109629707,6.042569659442724,0.4177871646337175,0.4220532319391635,0.8921775898520085,0.314230821791172,0.5858396731835455,0.11262400295616261,0.11262400295616448,0.6393276147965938,1.564143291883546,I
LR:24,LR 3rd generation,pre,0.23985607136460788,0.7404893086711268,0.5010926720627629,0.6426426426426426,0.5357607282184657,0.28300714694973,0.4964964964964965,0.316527771787498,0.17077263469621956,0.35735735735735735,0.7545787545787546,0.6005509641873278,0.35512971876608246,0.673173824964655,0.6775648593830412,0.6538653235749324,0.8440541440003707,1.8890488821523301,0.40866014719225735,4.622542460113226,0.4211542855020752,0.4153225806451613,0.8667992047713717,0.282121785416533,0.5598156800694852,0.08850776417605889,0.08850776417605899,0.6815938057059983,1.467149483502414,I
LR:25,LR 3rd generation,pre,0.2688183341565483,0.6991518582427674,0.4944762988353924,0.6446446446446447,0.507628294036061,0.2544321600433913,0.44844844844844844,0.2735799361194751,0.17698865170714514,0.35535535535535534,0.6703296703296703,0.6349862258953168,0.3053158962249871,0.652418659656734,0.6526579481124936,0.647446674756217,0.6965184377242096,1.8364503421107194,0.5191771352291961,3.537232704402515,0.4246001535765047,0.40848214285714285,0.8366606170598911,0.24514275991703394,0.5232759311844811,0.06422827175652361,0.0642282717565229,0.727402653078367,1.374754402899139,I
LR:26,LR 3rd generation,post,0.2571059980209725,0.74823408914318,0.53278881339102,0.6676676676676677,0.5501355013550135,0.3138452372086097,0.46546546546546547,0.3419166876294403,0.1668110289930116,0.33233233233233234,0.7435897435897436,0.6391184573002755,0.3827082008900191,0.6893779295766469,0.6913541004450096,0.6732540291634689,0.9021123381793711,2.060481503229595,0.4011936339522546,5.135877862595421,0.4106038039439891,0.43655913978494626,0.8689138576779026,0.30547299746284895,0.5697551217974677,0.10225332132886161,0.10225332132885923,0.6853669365156851,1.4590724278061438,I
LR:27,LR 3rd generation,post,0.30379434119230597,0.754697322879141,0.55773233463834615,0.7197197197197197,0.5692307692307693,0.3693011174544766,0.37737737737737737,0.3798713873037263,0.1635935109719532,0.2802802802802803,0.6776556776556777,0.7355371900826446,0.4131928677383223,0.7060035077720277,0.7065964338691612,0.7192892259246169,0.973602434951839,2.562385531135531,0.43824340453553934,5.8469460227272725,0.3845051640077138,0.4907161803713528,0.8585209003215434,0.34923708069289616,0.5766598700674036,0.12134764571525343,0.12134764571525347,0.6950909759634851,1.4386605992314487,I
LR:28,LR 3rd generation,post,0.2747217430987288,0.7368918959828051,0.5015780566848786,0.6856856856856857,0.5475504322766571,0.32313568099430345,0.4214214214214214,0.34095246510453053,0.17115246211494764,0.31431431431431434,0.6959706959706959,0.6818181818181818,0.3777888777888778,0.6888580946214354,0.6888944388944389,0.6862584140535216,0.8767913076660581,2.1873364730507583,0.445909645909646,4.905335628227193,0.4033942133625222,0.4513064133016627,0.856401384083045,0.30770779738470777,0.5604427165746707,0.09945661529663626,0.09945661529663608,0.7045243149889333,1.4193974270649665,I
LR:29,LR 3rd generation,post,0.2660200872257171,0.7395357168084441,0.5221599260970652,0.6796796796796797,0.5492957746478874,0.32082398531511314,0.43743743743743746,0.3422247775426012,0.16918676600511512,0.3203203203203203,0.7142857142857143,0.6666666666666666,0.38095238095238093,0.6900655593423543,0.6904761904761905,0.6818181818181817,0.8873296265122474,2.142857142857143,0.42857142857142855,5,0.4058688457449499,0.4462242562929062,0.8612099644128114,0.30743422070571746,0.5645632042896438,0.10100051526099238,0.10100051526099063,0.6980893260515093,1.4324814356582984,I
LR:30,LR 3rd generation,post,0.2955228138598015,0.7290966609148427,0.5032802280770055,0.6876876876876877,0.5301204819277108,0.3071290430143382,0.3913913913913914,0.31825029396438465,0.17227025116965783,0.3123123123123123,0.6446886446886447,0.7038567493112947,0.34854539399993945,0.6736233767977873,0.6742726969999697,0.6852325562688033,0.8057697049793898,2.176948632762586,0.5048063482505752,4.312443059218413,0.4039671805659986,0.45012787723785164,0.8404605263157895,0.29058840355364124,0.538695026070454,0.08529447967107298,0.08529447967107051,0.7228320351667552,1.3834472620866936,I
